kernel,l,mse,coef0,degree,gamma
poly,,0.021246389416290104,0.25,2.0,0.1
poly,,0.017961702494494036,0.25,3.0,0.1
poly,,0.011809387214552625,0.25,4.0,0.1
poly,,0.011244014244016961,0.25,5.0,0.1
poly,,0.039666833361458036,0.5,1.0,0.1
poly,,0.021245865485622857,0.5,2.0,0.1
poly,,0.017953258558117413,0.5,3.0,0.1
poly,,0.011506427243728254,0.5,4.0,0.1
poly,,0.008129656911145332,0.5,5.0,0.1
poly,,0.039666830927941946,1.0,1.0,0.1
poly,,0.02124582953489728,1.0,2.0,0.1
poly,,0.017953113992862372,1.0,3.0,0.1
poly,,0.011504920324303699,1.0,4.0,0.1
poly,,0.008123871348612977,1.0,5.0,0.1
poly,,0.03966682933311314,5.0,1.0,0.1
poly,,0.021245826145666225,5.0,2.0,0.1
poly,,0.017953110329047513,5.0,3.0,0.1
poly,,0.011504907867674807,5.0,4.0,0.1
poly,,0.008123860086395795,5.0,5.0,0.1
sigmoid,,0.03998303323807458,0.25,,0.0001
sigmoid,,0.040169308032946924,0.5,,0.0001
sigmoid,,0.040115208462316546,1.0,,0.0001
sigmoid,,0.0406714149852517,5.0,,0.0001
sigmoid,,0.05079791510933137,0.25,,0.0005
sigmoid,,0.0625416727634079,0.5,,0.0005
sigmoid,,0.05802473671923923,1.0,,0.0005
sigmoid,,0.04064688437259638,5.0,,0.0005
sigmoid,,0.7448024163692095,0.25,,0.001
sigmoid,,0.19346567787004493,0.5,,0.001
sigmoid,,0.6655477126331673,1.0,,0.001
sigmoid,,0.0406291617747962,5.0,,0.001
sigmoid,,0.02096080559078508,0.25,,0.005
sigmoid,,0.06344194159878473,0.5,,0.005
sigmoid,,0.018759991171895786,1.0,,0.005
sigmoid,,0.04101469048384095,5.0,,0.005
sigmoid,,0.011657202863819868,0.25,,0.01
sigmoid,,0.012559385678444994,0.5,,0.01
sigmoid,,0.015124166009655184,1.0,,0.01
sigmoid,,0.04312968184594863,5.0,,0.01
sigmoid,,0.001202592501545514,0.25,,0.05
sigmoid,,0.001715459082676993,0.5,,0.05
sigmoid,,0.0025782270235498337,1.0,,0.05
sigmoid,,0.06865094023701768,5.0,,0.05
sigmoid,,0.004333371339980664,0.25,,0.1
sigmoid,,0.19458637317384211,0.5,,0.1
sigmoid,,0.0010068135548699972,1.0,,0.1
sigmoid,,0.5941825926274868,5.0,,0.1
