kernel,l,mse,coef0,degree,gamma
polynomial,,1.3201073085942912,1.0,4.0,0.05
polynomial,,145.9851277814153,1.0,5.0,0.05
polynomial,,1.378222774349213,5.0,1.0,0.05
polynomial,,1.3722758812976,5.0,2.0,0.05
polynomial,,1.3497264430154992,5.0,3.0,0.05
polynomial,,1.3200969247696641,5.0,4.0,0.05
polynomial,,34.999817530533385,5.0,5.0,0.05
polynomial,,1.3782226993578872,0.25,1.0,0.1
polynomial,,1.3722761990114944,0.25,2.0,0.1
polynomial,,1.3498095238229124,0.25,3.0,0.1
polynomial,,1.3286619114882097,0.25,4.0,0.1
polynomial,,9331.861831270333,0.25,5.0,0.1
polynomial,,1.3782227352394132,0.5,1.0,0.1
polynomial,,1.3722757358943227,0.5,2.0,0.1
polynomial,,1.3497270867798634,0.5,3.0,0.1
polynomial,,1.3246325551410185,0.5,4.0,0.1
polynomial,,3703.1370649501114,0.5,5.0,0.1
polynomial,,1.3782227562471236,1.0,1.0,0.1
polynomial,,1.3722758315627253,1.0,2.0,0.1
polynomial,,1.349726527252242,1.0,3.0,0.1
polynomial,,1.3254373335302951,1.0,4.0,0.1
polynomial,,216893.5764756468,1.0,5.0,0.1
polynomial,,1.3782227745299303,5.0,1.0,0.1
polynomial,,1.3722758810606548,5.0,2.0,0.1
polynomial,,1.3497266012862588,5.0,3.0,0.1
polynomial,,1.3270686128487754,5.0,4.0,0.1
polynomial,,2231.5194960919516,5.0,5.0,0.1
sigmoid,,1.361312859474255,0.25,,0.0001
sigmoid,,1.3583470571861704,0.5,,0.0001
sigmoid,,1.3578684284108398,1.0,,0.0001
sigmoid,,1.3919803228705305,5.0,,0.0001
sigmoid,,1.3142571678485238,0.25,,0.0005
sigmoid,,1.3169271544575754,0.5,,0.0005
sigmoid,,1.3267352661199656,1.0,,0.0005
sigmoid,,1.3945425565054752,5.0,,0.0005
sigmoid,,1.548116469462173,0.25,,0.001
sigmoid,,1.9969414944470487,0.5,,0.001
sigmoid,,1.346027519538291,1.0,,0.001
sigmoid,,1.396390102273256,5.0,,0.001
sigmoid,,1.304376116268231,0.25,,0.005
sigmoid,,3.1056874811033257,0.5,,0.005
sigmoid,,1.3025341662636405,1.0,,0.005
sigmoid,,1.3942801475430853,5.0,,0.005
sigmoid,,1.28393305291948,0.25,,0.01
sigmoid,,1.275717344077713,0.5,,0.01
sigmoid,,1.3519606821449697,1.0,,0.01
sigmoid,,1.394214604707101,5.0,,0.01
sigmoid,,1.289382420973995,0.25,,0.05
sigmoid,,5.008058638371185,0.5,,0.05
sigmoid,,1.4053037258155547,1.0,,0.05
sigmoid,,1.394989223611375,5.0,,0.05
sigmoid,,1.3270694762412845,0.25,,0.1
sigmoid,,4.038391205767748,0.5,,0.1
sigmoid,,1.3927525479809555,1.0,,0.1
sigmoid,,1.3948499164144088,5.0,,0.1
